sensor_id,n_rows,n_valid_quaternion,first_timestamp,last_timestamp,availability_pct
1a,174,172,2026-04-10 06:55:56,2026-05-29 12:19:59,98.85057471264368
2a,174,0,2026-04-10 06:55:56,2026-05-29 12:19:59,0.0
3a,174,174,2026-04-10 06:55:56,2026-05-29 12:19:59,100.0
4a,174,174,2026-04-10 06:55:56,2026-05-29 12:19:59,100.0
5a,174,174,2026-04-10 06:55:56,2026-05-29 12:19:59,100.0
6a,174,174,2026-04-10 06:55:56,2026-05-29 12:19:59,100.0
7a,174,166,2026-04-10 06:55:56,2026-05-29 12:19:59,95.40229885057471
8a,174,0,2026-04-10 06:55:56,2026-05-29 12:19:59,0.0
9a,174,149,2026-04-10 06:55:56,2026-05-29 12:19:59,85.63218390804597
10a,174,174,2026-04-10 06:55:56,2026-05-29 12:19:59,100.0
11a,174,174,2026-04-10 06:55:56,2026-05-29 12:19:59,100.0
12a,174,174,2026-04-10 06:55:56,2026-05-29 12:19:59,100.0
13a,174,174,2026-04-10 06:55:56,2026-05-29 12:19:59,100.0
14a,174,174,2026-04-10 06:55:56,2026-05-29 12:19:59,100.0
15a,174,174,2026-04-10 06:55:56,2026-05-29 12:19:59,100.0
16a,174,173,2026-04-10 06:55:56,2026-05-29 12:19:59,99.42528735632183
17a,174,168,2026-04-10 06:55:56,2026-05-29 12:19:59,96.55172413793103
18a,174,164,2026-04-10 06:55:56,2026-05-29 12:19:59,94.25287356321839
